text,rating,date
"saran saya ga usah lewat aplikasi.. pasti ribet, & dibikin ribet beda sama yg lewat calo lbh mulus semulus jalan tol, ntah itu disengaja atau tidak saya tidak tahu. saya merasa sangat kecewa dg pelayanannya",1,2026-03-02 07:35:06
"aplikasi basi, tidak bisa dipakai, mungkin sengaja tidak diperbaharui supaya orang bikin paspor ke imigrasi langsung, dan di calo, dimintai uang",1,2026-03-01 12:46:26
baru juga tgl 1 maret jam 01:00 WIB slot bikin paspor di madukara purwakarta udh penuh ku. aneh bgt. pada maen suap kah ini biar dpt slotnya?,1,2026-02-28 18:34:24
pengurusan sampai saat ini masih baik² belum ada kesulitan di lapangan,5,2026-02-27 12:24:28
"sudah dicoba, lumayan oke, hanya kendala setelah pembayaran berhasil dilakukan ternyata status pembayaran di aplikasi tidak kunjung berubah. ditunggu lama dan di refresh2 juga ga berubah, statusnya masih menunggu pembayaran terus. ga ada kontak layanan aduan juga, jadi hanya bisa nunggu yaa?",2,2026-02-27 03:14:24
gak niat banget buat aplikasinya. aplikasi gak bisa di gunakan,1,2026-02-27 02:05:16
"sudah menunggu 3 hari untuk menentukan tanggal kehadiran,sampai sekarang tidak bisa menentukan tanggal kehadiran.",1,2026-02-26 14:51:30
"gak bisa masuk.. selalu minta aktivasi, tapi begitu TOP dimasukkan selalu error. 😪",1,2026-02-26 04:52:08
"disarankan jangan dulu, lebih baik yg bisa bayar di tempat aja",1,2026-02-26 04:03:55
giliran pilih tanggal jadwal koq gak bisa,2,2026-02-26 03:29:42
aplilasi tolol,1,2026-02-24 17:30:33
ini gimana coba mau pilih jadwal tapi gk ada yg bisa dipilih,2,2026-02-24 14:16:51
"Indonesia emang agak lain, ada aja cara menelan dana. Di aplikasi sistemnya ada pilihan percepatan dan reguler, pilih percepatan tapi kuota full, akhirnya untuk wanti pilihlah reguler yang kuota tersedia dan bayar 650.000. Pas ke kantor Imigrasi kuota percepatan masih tersedia dan bisa langsung tanpa daftar online dulu, OK walau sudah bayar gpp bayar lagi untuk percepatan di hari yang sama, tapi malah mesti nunggu dana 650.000 nya hangus dulu baru besoknya balik lagi dan bayar 1.650.000.",1,2026-02-24 01:28:04
aplikasi koruptor,1,2026-02-23 15:36:21
"Udah daftar online, malah di kantor imigrasi Singkawang di persulitkan dengan berbagai macam syarat. sampai uang pendaftaran online nya hangus.",1,2026-02-23 09:23:16
tidak bisa mengisi tanggal pertemuan... trus bagaimana solusinya? apakah bisa mengajukan offline?,2,2026-02-23 08:24:19
Kalo sudah judulnya aplikasi pemerintah. pasti gak ada yg beres. ada aja kendala. artinya kurang pengawasan dan terkesan tidak professional. padahal namanya pegawai pemerintah gaji gak pernah telat. tp masalah pekerjaan. hmm.. mana kerja pengawasan pemerintah pusat. mana yg di bilang pengembangan sdm. dimana-mana judulnya pengembangan sdm. tp model begini hasilnya. bukan memudahkan masyarakat. tp seakan-akan sebaliknya. kerj-kerja jangan mall atau hiburan aja. coba perhatikan saja dari bintang.,1,2026-02-23 05:31:47
kuota penuh terus sampe 3 bulan tidak bisa dipilih,1,2026-02-23 03:00:10
tolong di peebaiki Aplkasi nya masih udah berapa minggu gak bisa akses terus,1,2026-02-23 01:49:20
kenapa ga bisa nentuin tanggal inii aplikasii,1,2026-02-23 00:06:29
ada cara lain untuk atur jadwal perpanjangan paspor? ini dari tadi ga bisa log in terus,1,2026-02-21 19:17:30
"milih tanggal ga bisa, dihubungi kontak call center katanya masih ada kuota, aplikasi ga berguna, percuma aplikasi bagus ga bisa dipakai",1,2026-02-20 14:02:52
"kenapa setiap saya mau milih tanggal tidak ada yg tersedia slotnya apakah ada eror, atau hanya di updet di jam² tertentu saja ?",1,2026-02-20 11:06:24
sering error,5,2026-02-20 08:29:44
top,5,2026-02-20 06:44:44
pelayanan cukup prima..,5,2026-02-20 05:37:43
aplikasi nya erorrr 🤣🤣🤣🤣,1,2026-02-20 05:08:33
ini aplikasi tidak membantu sama sekali malah mempersulit. harusya kalau sudah punya paspor terus bikin pengajuan baru itu di tolak jangan di lanjutin sampai selesai pembayaran. giliran sudah jadwal datang ke kantor malah di tolak alesan salah pilih pengajuan harus ya pengajuan perpanjang jangan pilih baru. alhasil uang angus tidak ada solusi dari kantor. PERBAIKI JANGAN MERUGIKAN ORANG YANG TIDAK PAHAM CARA KERJA ONLINE,1,2026-02-20 03:41:49
request time out again 😂,1,2026-02-19 22:06:01
"anggaran untuk bikin aplikasi ini berapa si? aplikasi sangat buruk, tidak bisa memilih lokasi ulp yang dekat. beberapa metode pembayaran tidak bisa dipakai dan tidak bisa mengganti metode pembayaran.",1,2026-02-19 12:48:43
aplikasi ini kok tidak bisa di buka tolong admin di perbaikin lagi aplikasi nya dong,1,2026-02-18 13:06:15
"aplikasi tidak jelas. berkali-kali kirim email buat otp, tidak kunjung dikirim",2,2026-02-18 10:42:21
"Aplikasi error, gak bisa buat akun baru",1,2026-02-18 07:36:19
lebih...ingini,5,2026-02-17 05:18:34
banyak error nya,1,2026-02-17 02:31:09
"jelek banget aplikasi pemerintah,mau login sama daftar aja request time out terus!.buang duit negara bikin aplikasi sampah kayakk gini",1,2026-02-17 00:45:12
aku udh bayar pengajuan percepat tpi di statusnya masih menunggu pembayaran itu gmna ya? tkt hangus duitku😭,1,2026-02-16 12:48:22
tolong di perbaiki lagi ini apknya. Kasih yg bikin org yg berpengalaman jgn org bodoh,1,2026-02-15 09:10:26
"sekelas aplikasi milik negara masih banyak pengulangan-pengulangan pertanyaan yang seharusnya hanya ditanyakan sekali saja, serta masih banyak bug yang harus diperbaiki.. niatnya download aplikasi ini untuk mempermudah pembuatan pasport, malah bikin pusing, setiap mau reservasi tanggal tidak bisa dipencet, kuota pasti sudah full.. gimana solusinya ini?? makannya duit negara jangan di korupsi teruss wooyyy!!!!!",1,2026-02-15 01:22:03
"Susah nyari waktu untuk permohonan reguler, full terus tapi pilih daerah lain masih bisa",1,2026-02-13 04:43:15
wow,5,2026-02-12 10:30:47
tidak bisa di buka apk ya jadi tidak bisa di gunakan percuma ya di unduh,3,2026-02-11 17:02:10
aplikasinya sering bgt error gabisa di buka. Tolong dong di perbaiki. Mau praktis malah jd ribet.,1,2026-02-11 12:14:17
mantappooolllllllll,5,2026-02-10 13:11:47
good,5,2026-02-10 03:17:47
gajelas,1,2026-02-09 09:45:38
akan sangat membantu jika ada opsi untuk reschedule tempat juga,1,2026-02-09 06:39:04
unuseful,1,2026-02-09 04:53:33
"kenapa cuma bisa paspor elektronik, pilihan non elektroniknya ga ad.",3,2026-02-07 03:49:28
sangat membantu dan memudahkan pengurusan paspor,5,2026-02-06 16:12:30
setiap buka akun suruh aktivasi akun tpi kode OTP tdk kunjung di kirimkan sudah coba ber hari2 sampe mumet..,2,2026-02-06 06:19:13
"sungguh sangat sangat kecewa.mau buat pasport uang harus transfer dulu. sudah ditransfer datang di imigrasi dipersulit, alesan kurang syarat"" apa lah. padahal berkas sudah semua. sungguh sangat sangat kecewa. udah kehilangan uang.",1,2026-02-05 05:11:20
"Bintang 1 dulu, soalnya gak bisa pilih TANGGAL KEDATANGAN tanda tangan paspor.",1,2026-02-04 15:33:08
"GA SESUAI, APPLY DISINI DOKUMEN YANG WAJIB DI BAWA SAMA YANG DI REALLIFE BEDA. KENAPA HARUS MEWAJIBKAN KONTRAK KERJA? SEDANGKAN DI DALAM APLIKASI RESMI INI TIDAK DICATAT BUAT WAJIB ADA KONTRAK KERJA. SUDAH BAYAR SEJUTA DAN HANGUS GITU AJA CUMAN KARENA KONTRAK SAYA BELUM TURUN??? KALAU EMANGG GABISA NGAJUIN SEBELUM KONTRAK TURUN KASIH DALAM APLIKASI BIAR ORANG ORANG GAK BIKIN PASPOR SEBELUM KONTRAK TURUN. PEGAWAI KANTOR IMIGRASI JUGA PADA SOK TAU SEMUA, HAPUS AJA APLIKASI INI, NIPU",1,2026-02-04 06:39:23
tanggal pengambilan paspor nya kaga bisa di klik bodoh,2,2026-02-04 03:38:52
"kenapa sangat dipersulit menggunakan aplikasi ini, sangat sangat tidak membantu.",1,2026-02-03 23:14:41
Sangat bagus pelayanannya,5,2026-02-03 13:54:40
sangat simple,5,2026-02-03 02:57:04
tinggal pay ment gagal trus mohon di betulkan apk nya,1,2026-02-02 08:33:22
sudah isi semua lalu pilihan terakhir tanggal nya penuh semua.. coba pilihan tanggal ditaruh paling depan ya supaya tidak sia2 kita ngisi nya terimakasih,3,2026-02-02 03:45:41
jelek sekali aplikasi plat merah,1,2026-02-01 02:20:15
okkkk,5,2026-01-30 10:25:34
mantap,5,2026-01-30 04:04:44
sangat berguna bagi yg mau buat paspor,5,2026-01-30 01:56:03
Milih tanggal kedatangan kok ngak bisa bisa? Udah 3 bulan saya coba untuk kantor Imigrasi kota Bandung jl surapati...,1,2026-01-30 01:50:54
bikin paspor baru diarahin ke tempat khusus pergantian paspor baru saja udah bayar. pas sudah dijadwalkan datang disuruh bayar lagi untuk buat baru lagi. kenapa aplikasinya meloloskan untuk pengajuan baru tapi diarahkan ke tempat khusus pergantin paspor lama,1,2026-01-30 01:24:37
Nyusahin aja ga bs diakses error mulu dan minta fixing bugging,1,2026-01-29 23:32:51
"Gimana sih,mau masuk susah banget, password salah,padahal udah sesuai dengan yg di kirimkan di Gmail",1,2026-01-29 11:59:28
aplikasi sangat kurang dan merugikan. menjebak. ektp seharusnya bisa mendeteksi data sebelum nya punya paspor. apakah bisa buat baru atau pakai paspor lama yg hilang. orang tua nenek kakek mana ingat. dengan Ektp harusnya aplikasi bisa menolak buat baru.. ini bisa dan bayar. trus ditolak saat pelaksanaan. Hagus dah 950k.. apaaan mending hapus aja aplikasi beginian. merugikan. kecewa,1,2026-01-29 04:37:50
APLIKASI GAK GUNA. HAPUS SAJA DARI PLAYSTORE,1,2026-01-28 22:24:39
"gak bisa pilih tgl, parah",1,2026-01-28 15:06:23
tidaj bisa klik tanggal,1,2026-01-28 08:36:30
aplikasi jelek. tinggal pilih tanggal doang malah error request timeout,1,2026-01-28 03:27:50
"saya sangat kecewa dengan pelayanan kantor imigrasi. di aplikasi kita di wajibkan membayar lunas. kita juga sudah mengisi persyaratan yang ada di aplikasi, tapi sampai kantor kita di persulit, kita harus menyiapkan syarat tambahan yang tidak tertera pada aplikasi, saya merasa dirugikan. sangat sangat di rugikan",1,2026-01-27 11:23:53
"m paspor, tidak bisa di buka.?",1,2026-01-27 05:42:04
"ga bisa menambahkan jadwal, sudah berulang-ulang di coba.",2,2026-01-27 00:35:32
bahkan belum masukan email dan sandi pun udah request time out aja. perbaiki lagi aplikasi kalian. jangan makan gaji buta,1,2026-01-26 21:27:55
tidak bisa pilih tanggal. jelek,1,2026-01-26 13:33:08
"tanggal kedatangan nya gk bisa di kelik, bahkan sampai 2 bln ke depan gk bisa di kelik. udah di instal ulang juga tetap sama. tolong arahannya",2,2026-01-26 13:30:32
brilliant😎,5,2026-01-25 23:17:11
"Tidak berguna, kirim kode aktivasi malam masuk email lama banget jadi aktivasi tidak valid kalau dimasukan kode otpnya. tolong di perbaiki",1,2026-01-24 16:27:47
gak bisa di buka aplikasi nya,2,2026-01-24 09:51:12
memuaskan,5,2026-01-24 01:31:48
kalau bisa kasih bintang -50 deh,1,2026-01-23 04:06:58
"aplikasi gak jelas, buat daftar gabisa, tanggal ngga bisa di tekan, klo buat aplikasi yg notabene nya penting bgtt tuh yg bgus harusnya, banyak error nya, mau daftar paspor jdi susah, tolong di perbaiki.",1,2026-01-23 00:31:31
"pelayanannya dikantor ukk jogjakarta bagus, ramah dan ruangannya bersih. mantapp lanjutkan terus demi kenyamanan pelanggan.👌",5,2026-01-22 01:39:42
Ini aplikasi kok jelek banget masa iya untuk pelayanan masyarakat kagak bisa diakses,1,2026-01-21 13:55:58
Bagus,5,2026-01-21 03:58:26
request time out,1,2026-01-21 02:24:51
"tidak bisa dipakai dari luar Indonesia, menurut saya sangat tidak efisien. Setidaknya jika bisa, saya bisa buat janji temu saat masih di luar negeri sebelum pulang ke Indonesia",1,2026-01-20 15:26:56
"gajelas gabsa log in, daftar jga belum pernah katanya udh terdaftar. bagian diklik pemulihan jga gabisa bikin aplikasi yg memudahkan, bukan bikin sulit.",2,2026-01-20 08:24:26
cepat pelayanannya,5,2026-01-20 02:52:17
setiap daftar semenjak bula desember selalu kendala di pembayaran kenapa ya??? jadi saat permohonan kadaluarsa lagi dan lagi masukin kuisoner,3,2026-01-20 02:19:36
eror mulu,2,2026-01-20 00:56:30
hebat dehhh layanan nya,5,2026-01-19 23:47:44
aplikasi yg gk berguna sama sekali alias pembodohan publik,1,2026-01-19 15:14:13
sangat merugikan👎👎 uang yang kita bayarkan hangus seketika tanpa ada solusi hapus saja aplikasi ini,1,2026-01-19 04:11:38
"aplikasi jelek banget, udah sampai tahap akhir tapi ga bisa klik tanggal pilihan untuk ambil antrian. kenapa sih aplikasi pemerintah Indo pasti selalu ga serius begini padahal kan ada biayanya masuk anggaran. Bayar pilih IT yg serius lah pake dana negara bapak2/ibu2 pejabat kaya gini bukannya memudahkan masyarakat malah ngeribetin, mending manual aja sekalian kalau emang ga siap SDA nya",1,2026-01-19 02:07:27
kenapa aplikasi untuk pemerintah selalu kayak apk trial...kayak ga niat buat.,1,2026-01-19 01:12:33
ok,5,2026-01-18 07:49:02
bagus,5,2026-01-18 06:01:10
"Ribet, aplikasi lambat, susah buat gen boomer.",1,2026-01-17 03:43:13
aneh. puluhan x gagal maning.. bolak balik.. kalah sama aplikasi travel JH dan DT.. pemerintah dengan anggaran yang banjir tidak bisa mengatasi hal sepele seperti ini,1,2026-01-17 00:29:20
"tidak bisa ditentukan tanggal pertemuannya, tolong diperbaiki",1,2026-01-16 20:05:15
"Buruk sekali sistemnya, tidak bisa login. Padahal akun nya baru daftar",1,2026-01-16 11:09:45
"tidak bisa terpakai, aplikasi layanan online Imigrasi tidak ada sama sekali",1,2026-01-15 12:50:02
Setelah masuk ke tanggal tidak bisa di klik lagi kuota tersisa 0 aplikasi di klik no respon yakin udah benar nih aplikasi?,1,2026-01-15 04:13:45
pelajari,5,2026-01-15 03:28:30
"mau login susah sekali, verifikasi puzzle lemot tidak bisa dislide",1,2026-01-15 02:03:16
"SANGAT BURUK, TIDAK BISA DI ATUR WAKTUNYA",1,2026-01-14 12:16:59
"request time out mulu. mau daftat susah, mau login gabisa. buat apa bikin aplikasi kalau ga fungsi?",1,2026-01-14 01:35:30
aplikasi bagus dengan mudah daftar paspor dan cepat,5,2026-01-13 16:11:48
lancar membuat paspor,5,2026-01-13 10:11:54
mantap,5,2026-01-13 09:23:45
aplikasi cacat sistem. daftar bisa lanjut ke pembayaran. sampe lokasi ternyata harus punya rekomendasi dan nomor2 apalah itu. belajar management ga sih. paham if dan else ga ?? sampah sampah.,1,2026-01-13 09:04:35
Ga bisa dibuka,1,2026-01-13 03:44:38
Kode verifikasi tidak terkirim di email. Diulang beberapa hari juga masih tidak terkirim. Tolong adakan loket bantuan informasi yang ada personalnya! masa cs nya hanya tersedia online yg tanpa kepastian dijawab kapan.,1,2026-01-12 04:56:04
"tolong di perbaiki lagi aplikasinya, harus jelas apakah kuota pendaftaran masih ada atau tidak dan kapan akan siap kembali agar pendaftar tidak kebingungan jika mengalami team out terus",4,2026-01-12 04:17:03
"gak jelas, korup terus, nggak bisa d buka",1,2026-01-11 14:47:32
Lebih simple dan praktis,5,2026-01-11 09:03:07
ko bisa 3 bulan berturut2 kuota langsung penuh terus??? gmn mu bikinnya???? nunggu gajah bertelorrrrr,1,2026-01-11 05:26:50
"mau buat paspor, tapi gakbisa login padahal belom pernah login sama sekali, kenapa ya?? terus mau buat paspor ini gmna",3,2026-01-11 03:47:25
sudah coba login bbrpa kali knp tidak bisa masuk .data pribadi SDH diisi lngkap verifikasi tdk bsa didapat di email pun tdk ada.cba lewat SMS pun tdk ada.,1,2026-01-10 18:26:01
"apk gajelass, sulid amat pas mau bayarnyaa",1,2026-01-10 05:59:25
tahap akhir selalu gagal. timeout terus aplikasi belum siap buat daftar paspor. maklum aplikasi buatan negara berkembang ya begini. ribett,1,2026-01-10 05:01:01
"ini kok gak bisa asal masuk complete the security check, gak bisa digeser dan dilengkapi, jadi gimna",1,2026-01-10 00:28:39
"lihat penilaian 2.8 ga ekspect samasekali sudah, tapi cobalaaah donlot siapatau ya kaan.. ternyata wkwkwk sekelas aplikasi pemerintahan begini 🤧",1,2026-01-09 15:21:48
ok,5,2026-01-09 12:37:11
bisa bikin aplikasi ga si negara ini? aplikasi BUMN rusak semua heran,1,2026-01-09 11:51:06
"sebaiknya jangam bikin paspor dan bayar di aplikasi ini. kecewa begitu datang bawa berkas, di persulit prosesnya. butuh ini lah itu lah, njelimet pokonya. abis itu di batalkan sama mereka 14 hari kerja dan uang kita hangus padahal bayar mahal 1,6 jt. sia sia udah mahal tidak memberri solusi. mending datang langsung ke kantor imigrasi pusat aja. lebih murah, kita dibantu banget, dikasi solisi, petugas kasi tau detail, baru bayat pokoknya kita tidak di persulit sama sekali.",1,2026-01-09 10:36:58
Aplikasi sekelas Kementrin hasilnya bobrok banget,1,2026-01-09 06:44:40
"Aplikasi gak Guna....upload data komplit,kirain datang disana tinggal bawa bukti pendaftara dari Aplikasi MPASPOR,ternya masih juga suruh bawa kertas poto copy dan materai,sial",2,2026-01-08 12:38:48
"sangat di persulit selalu,masih banyak yang kurang",1,2026-01-08 10:40:55
aplikasinya debugging usb kenapa ya? ada yang tahu,2,2026-01-08 05:48:11
"percuma mengisian data di apk ini ujung ujungnya,di wawancara nya tidak sesuai ekspektasi, mempersulit masyarakat,memperbeban pikiran padahal sudah di banyar",1,2026-01-08 05:48:01
Alhamdulillah mengurus pasport sekarang lebih mudah dan cepat. semua praktis tanpa calo ygmerugikan,5,2026-01-08 01:39:36
"tolong dong lebih ketat, dalam masalah pendaftaran paspor, setidak nya nik yang sudah terdaftar dan sudah membayar tidak lagi bisa mndaftar, ini kejadian sudah terdaftar eh masih bisa daftar lagi, akhirnya dobel pembayaran",1,2026-01-07 17:01:19
ok,5,2026-01-07 14:55:49
"aplikasi tidak bisa di gunakan pendaftaran akun, selalu timeout",1,2026-01-07 05:51:45
Gak kaget kalo aplikasinya jelek soalnya yg bikin pemerintah😋😋😋😋,1,2026-01-07 03:13:52
antrian selalu penuh . tapi kalau lewat calo bisa . aneh ?,1,2026-01-06 11:54:33
tolong dong kenapa gabisa milih tanggal kedatangan ya,2,2026-01-06 04:51:24
Aplikasi rusak daftar akun request time out terus dan tidak ada kuota tersedia di kantor manapun,1,2026-01-06 03:47:54
"harusnya pembayarannya saat proses dikantor,kenapa harus diawal,andai berhalangan datang karna sesuatu hal jadi nya uang hangus dong",2,2026-01-05 06:07:42
Aplikasi tidak membantu,1,2026-01-04 16:23:43
maintenance sampai kapan?,1,2026-01-04 07:10:23
"aplikasi buruk, sering bermasalah. login susah dan sering Log out otomatis. tidak fleksibel",1,2026-01-04 06:13:24
apalah ini kok maintenance mullu,1,2026-01-04 06:02:57
gak bisa di akses,1,2026-01-04 05:11:39
"masa baru juga download aplikasi tp ngk busa di akses,,, masih dalam tahap MT.... pdhl ini aplikasi publik",1,2026-01-04 03:07:26
ancik aplikasi,2,2026-01-04 01:23:43
ini aplikasi maintenance nya berapa lama ya? kok belum selesai-selesai?bisa di percepat ga?,1,2026-01-03 23:12:37
ADUH JANGAN BUGS DONG. BELOM RESCHEDULE BUAT BESOK. SURAT REKOMENDASI DARI TRAVEL BELOM JADI,1,2026-01-03 21:50:51
tidak bermutu setiap melakukan regristrasi gagal mulu klw langsung di imigrasi cepat permainan,1,2026-01-03 12:43:42
"Banyak trouble, fitur masih kurang, masa saya mau upload data tidak terverifikasi padahal sudah sangat jelas data yang saya upload, coba scan langsung juga tetep error, emang aneh, mangkanya anggaran pembuatan aplikasi digunakan secara bijak, cari programer yang bener bener bisa bikin aplikasi bukan cuma orang"" yang deket sm pemerintah. wkkwwkkw.",1,2026-01-03 12:08:15
good,5,2026-01-03 09:23:34
Lancar,5,2026-01-03 01:48:35
g bisa di buka,1,2026-01-03 00:32:16
ok,5,2026-01-02 23:24:48
"MAU PILIH TANGGAL KEDATANGAN AJA GA BISA-BISA, ANEH BANGET APLIKASI M-PASPOR, SEKELAS INSTANSI PEMERINTAH KOK SEPERTI INI",1,2026-01-02 09:39:29
terimakasih sangat membanru👍,5,2026-01-02 02:20:40
